"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin",Percent2
Noble Bean aka Jerjobo,Moho Valley,1299,2014,75%,U.S.A.,3,Trinitario,Belize,75
Nuance,"Ecuador, 2013",1458,2015,70%,U.S.A.,2.75,Trinitario,Ecuador,70
Nuance,"Sambirano Valley, 2012",1458,2015,70%,U.S.A.,3.5,Trinitario,Madagascar,70
Oakland Chocolate Co.,Jamaica,478,2010,70%,U.S.A.,2.5,Trinitario,Jamaica,70
Ohiyo,"San Juan Estate, Gran Couva",1594,2015,70%,U.S.A.,2.75,Trinitario,Trinidad,70
Omnom,"Kakao Kamili, Kilombero Valley",1816,2016,70%,Iceland,3.75,Trinitario,Tanzania,70
Omnom,Madagascar,1247,2014,66%,Iceland,3.5,Trinitario,Madagascar,66
organicfair,Maya Mountain,1161,2013,74%,Canada,2.75,Trinitario,Belize,74
organicfair,Nicaraqua,1165,2013,72%,Canada,2.75,Trinitario,Nicaragua,72
organicfair,Mindo,1165,2013,72%,Canada,3,Trinitario,Ecuador,72
Palette de Bine,Maya Mtn,1720,2016,72%,Canada,3,Trinitario,Belize,72
Palette de Bine,"San Juan Estate, Gran Couva",1570,2015,70%,Canada,3.25,Trinitario,Trinidad,70
Palette de Bine,Lam Dong,1574,2015,72%,Canada,3.75,Trinitario,Vietnam,72
Palette de Bine,Sambirano,1239,2014,78%,Canada,3.75,Trinitario,Madagascar,78
Palette de Bine,Gran Couva,1399,2014,70%,Canada,3.75,Trinitario,Trinidad,70
Patric,Madagascar,331,2009,75%,U.S.A.,4,Trinitario,Madagascar,75
Patric,Madagascar,439,2009,67%,U.S.A.,3.5,Trinitario,Madagascar,67
Patric,"Rio Caribe, Paria Penninsula",439,2009,70%,U.S.A.,3.5,Trinitario,Venezuela,70
Patric,Madagascar,196,2007,70%,U.S.A.,4,Trinitario,Madagascar,70
Paul Young,"Madagascar, w/ shell",1271,2014,73%,U.K.,2.25,Trinitario,Madagascar,73
Paul Young,"Madagascar, w/ shell",1271,2014,64%,U.K.,2.75,Trinitario,Madagascar,64
Pierre Marcolini,Trinite,478,2010,75%,Belgium,3.25,Trinitario,Trinidad,75
Pierre Marcolini,"Sambirano, Ambanja, Madagascar",141,2007,72%,Belgium,4,Trinitario,Madagascar,72
Pitch Dark,Nicalizo,1510,2015,80%,U.S.A.,2.75,Trinitario,Nicaragua,80
Pitch Dark,Akesson Estate,1311,2014,73%,U.S.A.,3.25,Trinitario,Madagascar,73
Pitch Dark,Namau Village,1315,2014,73%,U.S.A.,2.5,Trinitario,Fiji,73
Pralus,Chuao,486,2010,75%,France,3.5,Trinitario,Venezuela,75
Pralus,Papouasie,199,2008,75%,France,3,Trinitario,Papua New Guinea,75
Pralus,Trinidad,5,2006,75%,France,3.5,Trinitario,Trinidad,75
Pralus,"Barlovento, Venezuela",32,2006,75%,France,3.5,Trinitario,Venezuela,75
Pralus,Jamaique,32,2006,75%,France,4,Trinitario,Jamaica,75
Pralus,Equateur,40,2006,75%,France,3,Trinitario,Ecuador,75
Pralus,Vanuatu,40,2006,75%,France,3,Trinitario,Vanuatu,75
Pralus,Colombie,40,2006,75%,France,3.5,Trinitario,Colombia,75
Pralus,Cuba,99,2006,75%,France,3,Trinitario,Cuba,75
Pump Street Bakery,"Crayfish Bay Estate, 2014",1502,2015,70%,U.K.,3.5,Trinitario,Grenada,70
Pump Street Bakery,"Patanemo Vil., Carabobo State, Tisano family",1223,2014,75%,U.K.,2.75,Trinitario,Venezuela,75
Pump Street Bakery,"Akessons Estate, Sambirano, Ambanja",1223,2014,72%,U.K.,3.25,Trinitario,Madagascar,72
Quetzalli (Wolter),"Uranga, Lot 22032016",1800,2016,74%,Mexico,3,Trinitario,Mexico,74
Raaka,Madagascar,959,2012,75%,U.S.A.,3.25,Trinitario,Madagascar,75
Ritual,"Toledo District, Maya",1089,2013,75%,U.S.A.,3.75,Trinitario,Belize,75
Ritual,Sambirano,891,2012,75%,U.S.A.,4,Trinitario,Madagascar,75
Ritual,Gran Couva,979,2012,75%,U.S.A.,3.5,Trinitario,Trinidad,75
Robert (aka Chocolaterie Robert),Madagascar,1061,2013,75%,Madagascar,3.25,Trinitario,Madagascar,75
Robert (aka Chocolaterie Robert),Madagascar w/ nibs,1061,2013,68%,Madagascar,3.25,Trinitario,Madagascar,68
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",923,2012,66%,U.K.,3.5,Trinitario,Grenada,66
Rogue,"Akessons Estate, Sambirano, 2013",1038,2013,70%,U.S.A.,3.5,Trinitario,Madagascar,70
Rogue,"Bachelor's Hall E., St. Thomas Parish",1193,2013,75%,U.S.A.,3.75,Trinitario,Jamaica,75
Rogue,Rio Caribe,327,2009,70%,U.S.A.,3.5,Trinitario,Venezuela,70
Rogue,Jamaica,213,2008,70%,U.S.A.,2.75,Trinitario,Jamaica,70
Rogue,"Sambirano, 2008",213,2008,70%,U.S.A.,2.75,Trinitario,Madagascar,70
Rogue,Trinidad,213,2008,70%,U.S.A.,3,Trinitario,Trinidad,70
Rozsavolgyi,"Rio Caribe Superior, Paria Penninsula",871,2012,76%,Hungary,2.25,Trinitario,Venezuela,76
Rozsavolgyi,"Sambirano, Akesson Estate",871,2012,72%,Hungary,2.5,Trinitario,Madagascar,72
S.A.I.D.,Malgascio,607,2010,64%,Italy,3.5,Trinitario,Madagascar,64
Salgado,Carenero Superior,288,2008,70%,Argentina,3.5,Trinitario,Venezuela,70
Scharffen Berger,Camahogne,464,2010,68%,U.S.A.,3.5,Trinitario,Grenada,68
Scharffen Berger,Ben Tre,445,2009,72%,U.S.A.,3.75,Trinitario,Vietnam,72
Scharffen Berger,Jamaica a l'ancienne,56,2006,70%,U.S.A.,2,Trinitario,Jamaica,70
Shark Mountain,Jamaica,1450,2015,72%,U.S.A.,3.25,Trinitario,Jamaica,72
Shark Mountain,Ecuador,1335,2014,75%,U.S.A.,3,Trinitario,Ecuador,75
Silvio Bessone,"Bahia, Scavina",729,2011,60%,Italy,3.25,Trinitario,Brazil,60
Sirene,"Somia Plantation, 2012",1502,2015,100%,Canada,3,Trinitario,Madagascar,100
Sirene,"Somia Plantation, 2012",1339,2014,67%,Canada,3.75,Trinitario,Madagascar,67
Sirene,"Somia Plantation, 2012",1339,2014,73%,Canada,3.75,Trinitario,Madagascar,73
"Smooth Chocolator, The",Tien Giang,1864,2016,70%,Australia,3,Trinitario,Vietnam,70
"Smooth Chocolator, The",Akesson's Estate,1618,2015,65%,Australia,3.25,Trinitario,Madagascar,65
"Smooth Chocolator, The",Akesson's Estate,1622,2015,70%,Australia,3.5,Trinitario,Madagascar,70
"Smooth Chocolator, The",San Juan Estate,1622,2015,70%,Australia,3.75,Trinitario,Trinidad,70
"Smooth Chocolator, The","Chuao, batch 3",1666,2015,70%,Australia,3.75,Trinitario,Venezuela,70
Snake & Butterfly,Madagascar,502,2010,68%,U.S.A.,3,Trinitario,Madagascar,68
Sol Cacao,Madagascar,1518,2015,72%,U.S.A.,3,Trinitario,Madagascar,72
Solstice,Sambirano,1157,2013,70%,U.S.A.,3,Trinitario,Madagascar,70
Soma,"Sambirano Valley, Black Science, B-60307.0",1820,2016,70%,Canada,3.5,Trinitario,Madagascar,70
Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S.",1828,2016,70%,Canada,3.75,Trinitario,Nicaragua,70
Soma,"Tien Giang, Black S., batch VIT60420.0",1828,2016,70%,Canada,4,Trinitario,Vietnam,70
Soma,La Dalia,1307,2014,70%,Canada,3.25,Trinitario,Nicaragua,70
Soma,"Rizek Cacao, Domin. Rep.",1019,2013,77%,Canada,3.75,Trinitario,Dominican Republic,77
Soma,"Sangre Grande P., Trinidad",1073,2013,70%,Canada,3.75,Trinitario,Trinidad,70
Soma,"Bachelor's Hall E., St. Thomas Parish",1177,2013,70%,Canada,4,Trinitario,Jamaica,70
Soma,Cahabon Region,951,2012,70%,Canada,3.5,Trinitario,Guatemala,70
Soma,Carenero Superior,951,2012,70%,Canada,3.75,Trinitario,Venezuela,70
Soma,Papua New Guinea,983,2012,85%,Canada,3.5,Trinitario,Papua New Guinea,85
Soma,"Grenada, Black Science",676,2011,70%,Canada,2.75,Trinitario,Grenada,70
Soma,Conacado,387,2009,70%,Canada,3,Trinitario,Dominican Republic,70
Soma,Papua New Guinea,387,2009,70%,Canada,3.5,Trinitario,Papua New Guinea,70
Spencer,Malekula Island,1434,2014,72%,Australia,2.75,Trinitario,Vanuatu,72
Starchild,Sambirano Valley,1696,2015,70%,U.S.A.,3,Trinitario,Madagascar,70
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",859,2012,68%,Switzerland,2.75,Trinitario,Brazil,68
Sublime Origins,Sambirano,1157,2013,67%,U.S.A.,2.75,Trinitario,Madagascar,67
Sublime Origins,Moho Valley,1157,2013,78%,U.S.A.,3.25,Trinitario,Belize,78
Szanto Tibor,Baracoa,1704,2015,88%,Hungary,3.25,Trinitario,Cuba,88
Szanto Tibor,Ambolikapiky,1704,2015,70%,Hungary,3.25,Trinitario,Madagascar,70
Szanto Tibor,"Ben Tre, Mekong Delta",1708,2015,70%,Hungary,3.25,Trinitario,Vietnam,70
Szanto Tibor,Baracoa,1263,2014,70%,Hungary,3.75,Trinitario,Cuba,70
Tablette (aka Vanillabeans),Vietnam,1450,2015,60%,Japan,3.25,Trinitario,Vietnam,60
Tablette (aka Vanillabeans),Trinidad,1680,2015,77%,Japan,2.75,Trinitario,Trinidad,77
Tan Ban Skrati,"Paramaribo, batch 20160043-01",1868,2016,70%,Suriname,3.25,Trinitario,Suriname,70
Taza,Belize,1271,2014,68%,U.S.A.,3,Trinitario,Belize,68
Terroir,Belize,1478,2015,70%,U.S.A.,3.75,Trinitario,Belize,70
Terroir,Madagascar,1478,2015,70%,U.S.A.,3.75,Trinitario,Madagascar,70
Terroir,Guatemala,1558,2015,70%,U.S.A.,3.75,Trinitario,Guatemala,70
Terroir,Madagascar,1323,2014,67%,U.S.A.,3.75,Trinitario,Madagascar,67
Theo,Madagascar,162,2007,65%,U.S.A.,3.5,Trinitario,Madagascar,65
Tobago Estate (Pralus),"Roxborough, Tobago",895,2012,70%,France,4,Trinitario,Tobago,70
twenty-four blackbirds,Madagascar,1235,2014,75%,U.S.A.,3.5,Trinitario,Madagascar,75
Upchurch,"Madagascar, Sassy Bar",1752,2016,72%,U.S.A.,3,Trinitario,Madagascar,72
Urzi,"Sur del Lago, Merida",1327,2014,65%,Italy,3.25,Trinitario,Venezuela,65
Valrhona,Chuao 2002 P.,129,2007,65%,France,3.75,Trinitario,Venezuela,65
Valrhona,Caraibe,63,2006,66%,France,3,Trinitario,Carribean,66
Valrhona,Gran Couva 2005 P.,75,2006,64%,France,2.5,Trinitario,Trinidad,64
Valrhona,"Sambirano, Ampamakia 2005, Millot P.",75,2006,64%,France,3.5,Trinitario,Madagascar,64
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,72%,Madagascar,2.75,Trinitario,Madagascar,72
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,76%,Madagascar,2.75,Trinitario,Madagascar,76
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,80%,Madagascar,2.75,Trinitario,Madagascar,80
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,70%,Madagascar,3,Trinitario,Madagascar,70
Vao Vao (Chocolaterie Robert),Madagascar w/ nibs,404,2009,68%,Madagascar,3,Trinitario,Madagascar,68
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,64%,Madagascar,3.25,Trinitario,Madagascar,64
Videri,Trinidad,1211,2014,75%,U.S.A.,3.5,Trinitario,Trinidad,75
Vietcacao (A. Morin),"Ben Tre, Mekong Delta, MoCay",951,2012,70%,France,3.5,Trinitario,Vietnam,70
Violet Sky,Sambirano Valley,1458,2015,77%,U.S.A.,2.75,Trinitario,Madagascar,77
Violet Sky,Cahabon,1502,2015,77%,U.S.A.,2.75,Trinitario,Guatemala,77
Wellington Chocolate Factory,Conacado,1756,2016,70%,New Zealand,3.5,Trinitario,Dominican Republic,70
Willie's Cacao,Los Llanos,1227,2014,88%,U.K.,3,Trinitario,Colombia,88
Willie's Cacao,Sambirano,593,2010,71%,U.K.,3,Trinitario,Madagascar,71
Willie's Cacao,Rio Caribe,457,2009,72%,U.K.,3.25,Trinitario,Venezuela,72
Woodblock,Gran Couva,1042,2013,70%,U.S.A.,3.5,Trinitario,Trinidad,70
Woodblock,Sambirano,951,2012,70%,U.S.A.,3.25,Trinitario,Madagascar,70
Zak's,"Madagascar, Batch 2",1578,2015,70%,U.S.A.,3.25,Trinitario,Madagascar,70
Zak's,"Belize, Batch 2",1578,2015,70%,U.S.A.,3.5,Trinitario,Belize,70
Zart Pralinen,San Juan Estate,1824,2016,85%,Austria,2.75,Trinitario,Trinidad,85
Zart Pralinen,"San Juan Estate, Gran Couva",1880,2016,78%,Austria,3.5,Trinitario,Trinidad,78
Zokoko,Tokiala,701,2011,66%,Australia,3.5,Trinitario,Papua New Guinea,66
Ritual,"Camino Verde P., 2012, Balao, Guayas",967,2012,75%,U.S.A.,3.25,Nacional,Ecuador,75
Rogue,"Camino Verde P., Balao, Guayas",979,2012,75%,U.S.A.,3.75,Nacional,Ecuador,75
Zart Pralinen,UNOCACE,1824,2016,70%,Austria,2.75,Nacional,Ecuador,70
Coppeneur,"Los Rios, H. Iara",558,2010,72%,Germany,2.5,Nacional,Ecuador,72
Soma,"Alto Beni, Wild Bolivian",676,2011,70%,Canada,3.5,Nacional,Bolivia,70
Potomac,Upala w/ nibs,647,2011,70%,U.S.A.,3.5,Matina,Costa Rica,70
Potomac,"Upala, Batch 18",654,2011,70%,U.S.A.,3,Matina,Costa Rica,70
Potomac,"Upala, Batch 12",607,2010,82%,U.S.A.,3.75,Matina,Costa Rica,82
Rancho San Jacinto,Ecuador,565,2010,75%,Eucador,3,Forastero,Ecuador,75
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero,Brazil,85
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero,Brazil,50
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero,Brazil,75
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4,Forastero,Brazil,60
Mission,"Bahia, Fazenda Venturosa",1626,2015,70%,Brazil,3.5,Forastero,Brazil,70
Soma,"Bahia Black, batch bra50722.1",1828,2016,70%,Canada,3.5,Forastero,Brazil,70
Szanto Tibor,"Fazenda Sempre Firme, Bahia",1708,2015,70%,Hungary,3.5,Forastero,Brazil,70
Tejas,"Bahia, Floresta Azul,Good Friends Reserve#3",971,2012,70%,U.S.A.,3.5,Forastero,Brazil,70
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Forastero,Ecuador,70
Arete,Phantom,1924,2016,70%,U.S.A.,4,Forastero,Peru,70
Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Forastero,Peru,68
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero,Ecuador,70
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4,Forastero,Peru,70
Bonnat,Piura Blanco,629,2011,75%,France,3.5,Forastero,Peru,75
"Chocolate Tree, The",Maranon,1582,2015,69%,Scotland,3.75,Forastero,Peru,69
"Chocolate Tree, The",Peru,1121,2013,70%,Scotland,3.75,Forastero,Peru,70
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,68%,Canada,3.75,Forastero,Peru,68
Compania de Chocolate (Salgado),Esmeraldas,296,2008,88%,Argentina,2.75,Forastero,Ecuador,88
Coppeneur,"Ecuador, Puristique",1169,2013,65%,Germany,3.25,Forastero,Ecuador,65
Creo,"""heirloom"", Arriba Nacional",1736,2016,85%,U.S.A.,3.25,Forastero,Ecuador,85
Creo,"""heirloom"", Arriba Nacional",1736,2016,73%,U.S.A.,3.75,Forastero,Ecuador,73
Durci,"Maranon, Joya Rara",1626,2015,70%,U.S.A.,3.5,Forastero,Peru,70
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",919,2012,72%,U.S.A.,2.75,Forastero,Peru,72
French Broad,"Maranon Canyon, Fortunato No. 4",781,2011,70%,U.S.A.,3.5,Forastero,Peru,70
Fresco,"Maranon, #228, MR, SC",1383,2014,70%,U.S.A.,3,Forastero,Peru,70
Fresco,"Maranon, #227, LR, MC",1383,2014,70%,U.S.A.,3.5,Forastero,Peru,70
Fresco,"Maranon, #229, MR, LC",1383,2014,70%,U.S.A.,3.5,Forastero,Peru,70
Fresco,"Maranon, #230, DR, LC",1387,2014,70%,U.S.A.,3.5,Forastero,Peru,70
Fruition,Maranon,1359,2014,76%,U.S.A.,3,Forastero,Peru,76
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",1065,2013,90%,U.K.,3,Forastero,Ecuador,90
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",1065,2013,82%,U.K.,3.5,Forastero,Ecuador,82
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c.",1113,2013,100%,U.K.,2.5,Forastero,Ecuador,100
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 96hr c.",623,2011,80%,U.K.,3,Forastero,Ecuador,80
K'ul,"Maranon, Fortunato No. 4",1852,2016,70%,U.S.A.,2.75,Forastero,Peru,70
Letterpress,Maranura,1371,2014,70%,U.S.A.,3.5,Forastero,Peru,70
Maglio,Ecuador,308,2008,70%,Italy,3,Forastero,Ecuador,70
Map Chocolate,"Maranon, 2014",1474,2015,62%,U.S.A.,3.5,Forastero,Peru,62
Millcreek Cacao Roasters,Ecuador,1073,2013,70%,U.S.A.,2.5,Forastero,Ecuador,70
Naive,"Maranon Canyon, Fortunato No. 4",1133,2013,78%,Lithuania,3.75,Forastero,Peru,78
Noble Bean aka Jerjobo,Maranon Canyon,1299,2014,75%,U.S.A.,3.25,Forastero,Peru,75
Nova Monda,"Punta Galera, cacao Nacional, gold label",935,2012,80%,Nicaragua,3.25,Forastero,Ecuador,80
Pierre Marcolini,"Los Rios, Puerto Romero, Equateur",129,2007,72%,Belgium,3.75,Forastero,Ecuador,72
Pump Street Bakery,Guantupi River,1223,2014,75%,U.K.,3,Forastero,Ecuador,75
Pump Street Bakery,Guantupi River,1227,2014,85%,U.K.,2.75,Forastero,Ecuador,85
Ritual,"Maranon, Cajamarca",1181,2013,75%,U.S.A.,3,Forastero,Peru,75
Salgado,Esmeraldas,288,2008,70%,Argentina,3.5,Forastero,Ecuador,70
Santander (Compania Nacional),Colombian 2008,404,2009,75%,Colombia,2.75,Forastero,Colombia,75
Santander (Compania Nacional),Colombian w/ nibs,414,2009,70%,Colombia,3,Forastero,Colombia,70
Santander (Compania Nacional),Colombian Semi Dark,32,2006,53%,Colombia,2,Forastero,Colombia,53
Santander (Compania Nacional),Colombian,32,2006,65%,Colombia,3,Forastero,Colombia,65
Santander (Compania Nacional),Colombian Dark,32,2006,70%,Colombia,4,Forastero,Colombia,70
"Smooth Chocolator, The","Maranon, batch 2",1666,2015,67%,Australia,3,Forastero,Peru,67
Solkiki,"Maranon, Fortunato No. 4",1840,2016,68%,U.K.,2.75,Forastero,Peru,68
Soma,Maranon Canyon,1259,2014,70%,Canada,3.75,Forastero,Peru,70
Soma,"Camino Verde P., Balao, Guayas",1307,2014,80%,Canada,3.5,Forastero,Ecuador,80
Starchild,"Bolivar, Arriba",1634,2015,70%,U.S.A.,3,Forastero,Ecuador,70
Szanto Tibor,"Winak, Sumaco",1704,2015,70%,Hungary,3.75,Forastero,Ecuador,70
To'ak (Ecuatoriana),Manabi,1418,2014,81%,Ecuador,3.25,Forastero,Ecuador,81
Woodblock,"Maranon, Cajamarca",1243,2014,70%,U.S.A.,3,Forastero,Peru,70
Zotter,El Oro,879,2012,75%,Austria,3,Forastero,Ecuador,75
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero,Brazil,75
Lajedo do Ouro,Catongo,927,2012,70%,Brazil,3.5,Forastero,Brazil,70
Salgado,Rio Arriba,292,2008,70%,Argentina,3.5,Forastero,Ecuador,70
Guido Castagna,Arriba,355,2009,64%,Italy,3,Forastero,Ecuador,64
Hoja Verde (Tulicorp),Arriba,414,2009,80%,Ecuador,2,Forastero,Ecuador,80
Hoja Verde (Tulicorp),Manabi,414,2009,80%,Ecuador,2.5,Forastero,Ecuador,80
Hoja Verde (Tulicorp),Arriba,414,2009,72%,Ecuador,3,Forastero,Ecuador,72
Hoja Verde (Tulicorp),Arriba,414,2009,58%,Ecuador,3.25,Forastero,Ecuador,58
Hoja Verde (Tulicorp),Manabi,414,2009,58%,Ecuador,3.5,Forastero,Ecuador,58
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Forastero,Ecuador,55
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3,Forastero,Ecuador,70
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3,Forastero,Ecuador,70
Bonnat,Equateur,123,2007,75%,France,2.5,Forastero,Ecuador,75
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25,Forastero,Ecuador,77
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.5,Forastero,Ecuador,100
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63%,Ecuador,3.5,Forastero,Ecuador,63
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71%,Ecuador,3.5,Forastero,Ecuador,71
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82%,Ecuador,2.5,Forastero,Ecuador,82
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91%,Ecuador,1.5,Forastero,Ecuador,91
Caoni (Tulicorp),Esmeraldas,237,2008,77%,Ecuador,2,Forastero,Ecuador,77
Caoni (Tulicorp),Manabi,237,2008,77%,Ecuador,2.5,Forastero,Ecuador,77
Caoni (Tulicorp),Los Rios,245,2008,77%,Ecuador,2.75,Forastero,Ecuador,77
Caoni (Tulicorp),Manabi,266,2008,55%,Ecuador,3,Forastero,Ecuador,55
Caoni (Tulicorp),Los Rios,269,2008,55%,Ecuador,3.25,Forastero,Ecuador,55
Caoni (Tulicorp),Esmeraldas,269,2008,55%,Ecuador,3.5,Forastero,Ecuador,55
Chchukululu (Tulicorp),Arriba,486,2010,55%,Ecuador,2.75,Forastero,Ecuador,55
Chchukululu (Tulicorp),Los Rios,252,2008,75%,Ecuador,3,Forastero,Ecuador,75
"Chocolate Tree, The",Ecuador,919,2012,82%,Scotland,2.5,Forastero,Ecuador,82
Chocovic,"Bolivar, Guaranda",117,2007,71%,Spain,2.5,Forastero,Ecuador,71
Domori,Ecuador,192,2007,70%,Italy,4,Forastero,Ecuador,70
Felchlin,Arriba,48,2006,72%,Switzerland,3.5,Forastero,Ecuador,72
Guittard,"Los Rios, Quevedo",93,2006,65%,U.S.A.,3.5,Forastero,Ecuador,65
Hachez,Arriba,166,2007,77%,Germany,2.5,Forastero,Ecuador,77
Pacari,Esmeraldas,224,2008,60%,Ecuador,2.5,Forastero,Ecuador,60
Pacari,Manabi,224,2008,65%,Ecuador,2.75,Forastero,Ecuador,65
Pacari,Los Rios,224,2008,72%,Ecuador,3,Forastero,Ecuador,72
Pacari,Raw,266,2008,100%,Ecuador,2,Forastero,Ecuador,100
Pacari,Raw,266,2008,70%,Ecuador,3.5,Forastero,Ecuador,70
Republica del Cacao (aka Confecta),"Los Rios, Vinces",439,2009,75%,Ecuador,2.5,Forastero,Ecuador,75
Republica del Cacao (aka Confecta),Manabi,147,2007,75%,Ecuador,3,Forastero,Ecuador,75
Republica del Cacao (aka Confecta),El Oro,147,2007,67%,Ecuador,3.5,Forastero,Ecuador,67
Republica del Cacao (aka Confecta),Los Rios,170,2007,75%,Ecuador,3.75,Forastero,Ecuador,75
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,100%,U.S.A.,2,Forastero,Ecuador,100
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,90%,U.S.A.,2,Forastero,Ecuador,90
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,75%,U.S.A.,3,Forastero,Ecuador,75
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2007",153,2007,65%,U.S.A.,3,Forastero,Ecuador,65
Soma,"Espiritu Santo, 'Smoke Monster'",1307,2014,70%,Canada,3.75,Forastero,Vanuatu,70
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil,75
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Forastero,Tanzania,70
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3,Forastero,Ghana,70
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3,Forastero,Ghana,85
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo,72
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana,72
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3,Forastero,Ghana,70
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Forastero,Congo,82
Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.5,Forastero,Ghana,75
C-Amaro,Sao Tome,749,2011,78%,Italy,2.25,Forastero,Sao Tome,78
Caribeans,Costa Rica,841,2012,72%,Costa Rica,3,Forastero,Costa Rica,72
Caribeans,Costa Rica,845,2012,80%,Costa Rica,2.75,Forastero,Costa Rica,80
Chaleur B,Uganda,1426,2014,70%,Canada,2.75,Forastero,Uganda,70
Chocolate Makers,"Congo, Gorilla bar",1530,2015,68%,Amsterdam,3.5,Forastero,Congo,68
Claudio Corallo,Terreiro Velho P.,470,2010,73.5%,Sao Tome,3.75,Forastero,Sao Tome & Principe,73.5
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,80%,Sao Tome,3,Forastero,Sao Tome & Principe,80
Claudio Corallo,Terreiro Velho P.,227,2008,75%,Sao Tome,4,Forastero,Sao Tome & Principe,75
Claudio Corallo,Principe,252,2008,100%,Sao Tome,1,Forastero,Sao Tome & Principe,100
Coppeneur,Ghana Puristique,813,2012,85%,Germany,3.5,Forastero,Ghana,85
Coppeneur,Uba Budo,821,2012,72%,Germany,3.75,Forastero,Sao Tome & Principe,72
Cravve,New Ireland,1283,2014,70%,Australia,2.5,Forastero,Papua New Guinea,70
Cravve,"Tanzania, batch a1",971,2012,75%,Australia,3.25,Forastero,Tanzania,75
Cravve,Djual Island,975,2012,75%,Australia,3.5,Forastero,Papua New Guinea,75
Davis,Ghana,1093,2013,70%,U.S.A.,2.5,Forastero,Ghana,70
Davis,West Africa,907,2012,58%,U.S.A.,3.25,Forastero,West Africa,58
De Villiers,Bundibugyo District,1832,2016,70%,South Africa,2.5,Forastero,Uganda,70
Dean and Deluca (Belcolade),Ghana,175,2007,60%,U.S.A.,3,Forastero,Ghana,60
Dolfin (Belcolade),Africa,304,2008,88%,Belgium,3,Forastero,West Africa,88
Enric Rovira (Claudio Corallo),Terreiro Velho P.,565,2010,80%,Spain,3.25,Forastero,Sao Tome & Principe,80
Frederic Blondeel,Ghana,1351,2014,60%,Belgium,3.5,Forastero,Ghana,60
Fresco,"Ghana, #211, MR, MC",636,2011,74%,U.S.A.,2.75,Forastero,Ghana,74
Georgia Ramon,ABOCFA Coop,1642,2015,70%,Germany,4,Forastero,Ghana,70
